Start,distance,steps,flights,active_cals,stepgoal
3/4/19,5.678805647,10113,10,587.1678799,Step Goal Complete!
3/5/19,8.509315451,14565,9,805.917,Step Goal Complete!
3/6/19,3.615194425,6405,8,434.2797041,Step Goal Fail
3/7/19,8.320973803,14512,14,778.5662959,Step Goal Complete!
3/8/19,3.622333428,6485,8,376.295,Step Goal Fail
3/9/19,3.77380342,6484,1,416.1061943,Step Goal Fail
3/10/19,5.821376041,9763.5085,1,605.7916448,Step Goal Fail
3/11/19,4.791958539,8522.413945,9,544.9665305,Step Goal Fail
3/12/19,7.096710103,12416.46363,9,688.0258008,Step Goal Complete!
3/13/19,6.73038021,11573,11,597.9287111,Step Goal Complete!
3/14/19,6.612115173,11575,8,654.6591185,Step Goal Complete!
3/15/19,4.566621036,7731,17,513.378,Step Goal Fail
3/16/19,3.621298649,6240,3,411.884,Step Goal Fail
3/17/19,4.95030747,8746,7,381.15,Step Goal Fail
3/18/19,6.13444743,10632.96298,8,650.4406525,Step Goal Complete!
3/19/19,5.177303097,9127,7,599.2802804,Step Goal Fail
3/20/19,6.973927862,12197,9.177213116,676.459185,Step Goal Complete!
3/21/19,5.356933597,9413,4.822786884,591.530908,Step Goal Fail
3/22/19,9.749616477,14417,9,990.7770002,Step Goal Complete!
3/23/19,3.920466136,7008.097066,1,445.3179739,Step Goal Fail
3/24/19,2.318481194,3961,3,326.569,Step Goal Fail
3/25/19,3.469864878,6037,5,437.541,Step Goal Fail
3/26/19,5.163275704,8968,39,703.5829672,Step Goal Fail
3/27/19,5.087717217,9298,4,667.9920328,Step Goal Fail
3/28/19,4.045693988,7057.539368,30,539.2618815,Step Goal Fail
3/29/19,4.819847386,8441,2,484.5367592,Step Goal Fail
3/30/19,7.796858574,12911.10941,1,706.9252764,Step Goal Complete!
3/31/19,9.715419978,16450.86011,4,804.5402896,Step Goal Complete!
4/1/19,5.909967522,10574,17,537.8747933,Step Goal Complete!
4/2/19,3.73792496,6717,11,364.585,Step Goal Fail
4/3/19,9.459706985,15871,11,1037.132618,Step Goal Complete!
4/4/19,5.505904284,9623,8,548.606777,Step Goal Fail
4/5/19,7.05318668,12230,11,708.6604372,Step Goal Complete!
4/6/19,5.44810229,9072.921758,1,481.1071312,Step Goal Fail
4/7/19,5.53864112,9425.053098,5,555.5778113,Step Goal Fail
4/8/19,5.819041328,10195,14,590.7662258,Step Goal Complete!
4/9/19,6.834124495,11822,10,702.63,Step Goal Complete!
4/10/19,7.085799039,11993.42174,9,1017.296046,Step Goal Complete!
4/11/19,5.836463342,10133,17,576.4949535,Step Goal Complete!
4/12/19,5.494382271,9820,12,560.3236405,Step Goal Fail
4/13/19,6.220435306,10437,2,1518.923359,Step Goal Complete!
