point,Serving,match_id,Pt,Set1,Set2,Gm1,Gm2,Pts,Gm#,TbSet,TB?,TBpt,Svr,Ret,1st,2nd,Notes,1stSV,2ndSV,1stIn,2ndIn,isAce,isUnret,isRallyWinner,isForced,isUnforced,isDouble,PtWinner,isSvrWinner,rallyCount,Player 1,Player 2,Pl 1 hand,Pl 2 hand,Gender,Date,Tournament,Round,Time,Court,Surface,Umpire,Best of,Final TB?,Charted by
4+b3n#,ND,20210912-M-US_Open-F-Novak_Djokovic-Daniil_Medvedev,163,0,2,1,5,40-30,27 (6),1,0,NA,1,2,4+b3n#,NA,NA,1,NA,1,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,1,Novak Djokovic,Daniil Medvedev,R,R,M,20210912,US Open,FALSE,4pm,Ashe,Hard,Damien Dumusois,5,1,Edo
6b28b2b1f1f1*,DM,20210912-M-US_Open-F-Novak_Djokovic-Daniil_Medvedev,164,0,2,2,5,0-0,28 (1),1,0,NA,2,1,6b28b2b1f1f1*,NA,NA,0,NA,1,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,0,6,Novak Djokovic,Daniil Medvedev,R,R,M,20210912,US Open,FALSE,4pm,Ashe,Hard,Damien Dumusois,5,1,Edo
6*,DM,20210912-M-US_Open-F-Novak_Djokovic-Daniil_Medvedev,165,0,2,2,5,0-15,28 (2),1,0,NA,2,1,6*,NA,NA,0,NA,1,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,1,Novak Djokovic,Daniil Medvedev,R,R,M,20210912,US Open,FALSE,4pm,Ashe,Hard,Damien Dumusois,5,1,Edo
4d,DM,20210912-M-US_Open-F-Novak_Djokovic-Daniil_Medvedev,166,0,2,2,5,15-15,28 (3),1,0,NA,2,1,4w,4d,NA,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,0,Novak Djokovic,Daniil Medvedev,R,R,M,20210912,US Open,FALSE,4pm,Ashe,Hard,Damien Dumusois,5,1,Edo
6r2d#,DM,20210912-M-US_Open-F-Novak_Djokovic-Daniil_Medvedev,167,0,2,2,5,15-30,28 (4),1,0,NA,2,1,6r2d#,NA,NA,0,NA,1,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,1,1,Novak Djokovic,Daniil Medvedev,R,R,M,20210912,US Open,FALSE,4pm,Ashe,Hard,Damien Dumusois,5,1,Edo
4f18f2s3f1f1f2f+3d@,DM,20210912-M-US_Open-F-Novak_Djokovic-Daniil_Medvedev,168,0,2,2,5,30-30,28 (5),1,0,NA,2,1,4f18f2s3f1f1f2f+3d@,NA,NA,0,NA,1,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,1,7,Novak Djokovic,Daniil Medvedev,R,R,M,20210912,US Open,FALSE,4pm,Ashe,Hard,Damien Dumusois,5,1,Edo
6n,DM,20210912-M-US_Open-F-Novak_Djokovic-Daniil_Medvedev,169,0,2,2,5,40-30,28 (6),1,0,NA,2,1,4n,6n,NA,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,0,Novak Djokovic,Daniil Medvedev,R,R,M,20210912,US Open,FALSE,4pm,Ashe,Hard,Damien Dumusois,5,1,Edo
6n,DM,20210912-M-US_Open-F-Novak_Djokovic-Daniil_Medvedev,170,0,2,2,5,40-40,28 (7),1,0,NA,2,1,6w,6n,NA,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,0,Novak Djokovic,Daniil Medvedev,R,R,M,20210912,US Open,FALSE,4pm,Ashe,Hard,Damien Dumusois,5,1,Edo
6f28f3n@,DM,20210912-M-US_Open-F-Novak_Djokovic-Daniil_Medvedev,171,0,2,2,5,40-AD,28 (8),1,0,NA,2,1,6f28f3n@,NA,NA,0,NA,1,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,2,Novak Djokovic,Daniil Medvedev,R,R,M,20210912,US Open,FALSE,4pm,Ashe,Hard,Damien Dumusois,5,1,Edo
4f38b3b2n#,ND,20210912-M-US_Open-F-Novak_Djokovic-Daniil_Medvedev,172,0,2,3,5,0-0,29 (1),1,0,NA,1,2,4f38b3b2n#,NA,NA,0,NA,1,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,3,Novak Djokovic,Daniil Medvedev,R,R,M,20210912,US Open,FALSE,4pm,Ashe,Hard,Damien Dumusois,5,1,Edo
4b38b2f2f2b2f1f1f1d#,ND,20210912-M-US_Open-F-Novak_Djokovic-Daniil_Medvedev,173,0,2,3,5,15-0,29 (2),1,0,NA,1,2,6n,4b38b2f2f2b2f1f1f1d#,NA,0,0,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,0,8,Novak Djokovic,Daniil Medvedev,R,R,M,20210912,US Open,FALSE,4pm,Ashe,Hard,Damien Dumusois,5,1,Edo
4f18f3b2d#,ND,20210912-M-US_Open-F-Novak_Djokovic-Daniil_Medvedev,174,0,2,3,5,15-15,29 (3),1,0,NA,1,2,4w,4f18f3b2d#,NA,0,0,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,3,Novak Djokovic,Daniil Medvedev,R,R,M,20210912,US Open,FALSE,4pm,Ashe,Hard,Damien Dumusois,5,1,Edo
5f18f2f3w@,ND,20210912-M-US_Open-F-Novak_Djokovic-Daniil_Medvedev,175,0,2,3,5,30-15,29 (4),1,0,NA,1,2,6n,5f18f2f3w@,NA,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,3,Novak Djokovic,Daniil Medvedev,R,R,M,20210912,US Open,FALSE,4pm,Ashe,Hard,Damien Dumusois,5,1,Edo
4+f1d#,ND,20210912-M-US_Open-F-Novak_Djokovic-Daniil_Medvedev,176,0,2,3,5,40-15,29 (5),1,0,NA,1,2,4+f1d#,NA,NA,1,NA,1,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,1,Novak Djokovic,Daniil Medvedev,R,R,M,20210912,US Open,FALSE,4pm,Ashe,Hard,Damien Dumusois,5,1,Edo
6b28f2b2b3b1f1f1f3b3b2f1f1f3b2f1f2f3b3b1f1f3d@,DM,20210912-M-US_Open-F-Novak_Djokovic-Daniil_Medvedev,177,0,2,4,5,0-0,30 (1),1,0,NA,2,1,6b28f2b2b3b1f1f1f3b3b2f1f1f3b2f1f2f3b3b1f1f3d@,NA,NA,0,NA,1,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,1,21,Novak Djokovic,Daniil Medvedev,R,R,M,20210912,US Open,FALSE,4pm,Ashe,Hard,Damien Dumusois,5,1,Edo
4b37b1f2f3b2f3b3b1f1f1f3b3s3s1f+3n@,DM,20210912-M-US_Open-F-Novak_Djokovic-Daniil_Medvedev,178,0,2,4,5,15-0,30 (2),1,0,NA,2,1,4x,4b37b1f2f3b2f3b3b1f1f1f3b3s3s1f+3n@,NA,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,1,15,Novak Djokovic,Daniil Medvedev,R,R,M,20210912,US Open,FALSE,4pm,Ashe,Hard,Damien Dumusois,5,1,Edo
5f38b3b1f1d#,DM,20210912-M-US_Open-F-Novak_Djokovic-Daniil_Medvedev,179,0,2,4,5,30-0,30 (3),1,0,NA,2,1,6d,5f38b3b1f1d#,NA,0,0,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,4,Novak Djokovic,Daniil Medvedev,R,R,M,20210912,US Open,FALSE,4pm,Ashe,Hard,Damien Dumusois,5,1,Edo
4b38b1r2f3*,DM,20210912-M-US_Open-F-Novak_Djokovic-Daniil_Medvedev,180,0,2,4,5,30-15,30 (4),1,0,NA,2,1,4w,4b38b1r2f3*,NA,0,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,1,5,Novak Djokovic,Daniil Medvedev,R,R,M,20210912,US Open,FALSE,4pm,Ashe,Hard,Damien Dumusois,5,1,Edo
4n,DM,20210912-M-US_Open-F-Novak_Djokovic-Daniil_Medvedev,181,0,2,4,5,40-15,30 (5),1,0,NA,2,1,6n,4n,NA,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,0,Novak Djokovic,Daniil Medvedev,R,R,M,20210912,US Open,FALSE,4pm,Ashe,Hard,Damien Dumusois,5,1,Edo
4s3n#,DM,20210912-M-US_Open-F-Novak_Djokovic-Daniil_Medvedev,182,0,2,4,5,40-30,30 (6),1,0,NA,2,1,4s3n#,NA,NA,0,NA,1,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,1,1,Novak Djokovic,Daniil Medvedev,R,R,M,20210912,US Open,FALSE,4pm,Ashe,Hard,Damien Dumusois,5,1,Edo
